Remember these Shortcuts
取消选择出现，Alt + Shift + J.


编辑
基本代码完成，Ctrl + Space
智能代码完成，Ctrl + Shift + Space
完整语句，Ctrl + Shift + Enter
参数信息（在方法调用参数内），Ctrl + P.
快速文档查找，Ctrl + Q.
外部文档，Shift + F1
简要信息，Ctrl +鼠标
在插入符号处显示错误描述，Ctrl + F1
生成代码...，Alt + Insert
覆盖方法，Ctrl + O.
实现方法，Ctrl + I.
环绕...，Ctrl + Alt + T.
注释/取消注释行注释，Ctrl + /
注释/取消注释块注释，Ctrl + Shift + /
扩展选择，Ctrl + W.
收缩选择，Ctrl + Shift + W.
上下文信息，Alt + Q.
显示意图操作和快速修复，Alt + Enter
重新格式化代码，Ctrl + Alt + L.
优化导入，Ctrl + Alt + O.
自动缩进行，Ctrl + Alt + I.
缩进/取消选中的行，Tab / Shift + Tab
将当前行剪切到剪贴板，Ctrl + X，Shift + Delete
将当前行复制到剪贴板，Ctrl + C，Ctrl + Insert
从剪贴板粘贴，Ctrl + V，Shift + Insert
从最近的缓冲区粘贴...，Ctrl + Shift + V.
复制当前行，Ctrl + D.
删除插入符号行，Ctrl + Y.
智能线连接，Ctrl + Shift + J.
智能线分割，Ctrl + Enter
开始换行，Shift + Enter
在插入符号或选定的块上切换单词的大小写，Ctrl + Shift + U.
选择直到代码块结束/开始，按Ctrl + Shift +] / [
删除到单词结束，按Ctrl + Delete
删除到单词开始，Ctrl + Backspace
展开/折叠代码块，Ctrl + NumPad + / -
全部展开，按Ctrl + Shift + NumPad +
全部折叠，Ctrl + Shift + NumPad-
关闭活动编辑器选项卡，Ctrl + F4


重构
复制，F5
移动，F6
安全删除，Alt +删除
重命名，Shift + F6
重构这一点，Ctrl + Alt + Shift + T.
更改签名，按Ctrl + F6
内联，Ctrl + Alt + N.
提取方法，Ctrl + Alt + M.
提取变量，Ctrl + Alt + V.
提取字段，按Ctrl + Alt + F.
提取常量，Ctrl + Alt + C.
提取参数，Ctrl + Alt + P.




导航
转到课堂，按Ctrl + N.
转到文件，按Ctrl + Shift + N.
转到符号，按Ctrl + Alt + Shift + N.
转到下一个/上一个编辑器选项卡，Alt +向右/向左
返回上一个工具窗口F12
转到编辑器（从工具窗口），Esc
隐藏活动窗口或上一个活动窗口，Shift + Esc
转到行，Ctrl + G.
最近的文件弹出，Ctrl + E.
向后/向前导航，按Ctrl + Alt +向左/向右
导航到上次编辑位置，按Ctrl + Shift + Backspace
在任何视图中选择当前文件或符号，Alt + F1
转到声明，Ctrl + B，Ctrl +单击
转到实现，Ctrl + Alt + B.
打开快速定义查找，Ctrl + Shift + I.
转到类型声明，Ctrl + Shift + B.
转到super-method / super-class，Ctrl + U.
转到上一个/下一个方法，Alt +向上/向下
移动到代码块结束/开始，Ctrl +] / [
文件结构弹出，Ctrl + F12
键入层次结构，Ctrl + H.
方法层次结构，Ctrl + Shift + H.
调用层次结构，Ctrl + Alt + H.
下一个/上一个突出显示的错误，F2 / Shift + F2
编辑源/查看源，F4 / Ctrl + Enter
显示导航栏，Alt + Home
切换书签，F11
使用助记符切换书签，Ctrl + F11
转到编号书签，Ctrl +＃[0-9]
显示书签，Shift + F11



编译并运行
制作项目，按Ctrl + F9
编译选定的文件，包或模块，Ctrl + Shift + F9
选择配置并运行/调试，Alt + Shift + F10 / F9
运行/调试，Shift + F10 / F9
从编辑器运行上下文配置，Ctrl + Shift + F10


用法搜索
查找用法/查找文件中的用法，Alt + F7 / Ctrl + F7
突出显示文件中的用法，Ctrl + Shift + F7
显示用法，Ctrl + Alt + F7


VCS /本地历史
将项目提交到VCS，Ctrl + K.
从VCS更新项目，Ctrl + T.
按提交，按Ctrl + Shift + K.
'VCS'快速弹出，Alt + BackQuote（`）


实时模板
使用实时模板环绕，按Ctrl + Alt + J.
插入实时模板，Ctrl + J











